state_id,a,b,r,U,L,new_blue,new_red,blue_target,blue_power,red_allowed,red_target,red_power,c0,c1,c2,c3,c4,lower_bound,upper_bound,status
q134,N,B,Ro,Bo Bo Bo,R Ro R,Bo,R,q006,0,1,q196,2,0,0,0,0,0,0,0,zero
q134,N,B,Ro,Bo Bo Bo,R Ro R,B,Ro,q014,0,1,q195,2,-16,-24,-64,56,24,73368873661040917193123/125000000000000000000000,17929014592214895443/30517578125000000000,positive
q134,N,B,Ro,Bo Bo Bo,R Ro R,B,R,q014,0,1,q196,2,-16,-24,-64,56,24,73368873661040917193123/125000000000000000000000,17929014592214895443/30517578125000000000,positive
q135,N,B,Ro,Bo Bo Bo,R R Ro,Bo,Ro,q007,0,1,q197,2,1012,4672,4668,-5672,-2148,86058454924124162539/30517578125000000000,717910410513236267430983/250000000000000000000000,positive
q135,N,B,Ro,Bo Bo Bo,R R Ro,Bo,R,q007,0,1,q198,2,0,0,0,0,0,0,0,zero
q135,N,B,Ro,Bo Bo Bo,R R Ro,B,Ro,q015,0,1,q197,2,1698,7802,7688,-9418,-3558,595962771368482189801/122070312500000000000,2483890239606340518478061/500000000000000000000000,positive
q135,N,B,Ro,Bo Bo Bo,R R Ro,B,R,q015,0,1,q198,2,686,3130,3020,-3746,-1410,50345790334397107929/24414062500000000000,209613883715973596723219/100000000000000000000000,positive
q136,N,B,Ro,Bo Bo Bo,R R R,Bo,Ro,q008,0,1,q199,2,0,0,0,0,0,0,0,zero
q136,N,B,Ro,Bo Bo Bo,R R R,Bo,R,q008,0,1,q200,2,0,0,0,0,0,0,0,zero
q136,N,B,Ro,Bo Bo Bo,R R R,B,Ro,q016,0,1,q199,2,-3726,-16824,-16092,20070,7560,95386478870030528416749/25000000000000000000000,48796065358226341443/12207031250000000000,positive
q136,N,B,Ro,Bo Bo Bo,R R R,B,R,q016,0,1,q200,2,-3726,-16824,-16092,20070,7560,95386478870030528416749/25000000000000000000000,48796065358226341443/12207031250000000000,positive
q137,N,B,Ro,Bo Bo B,Ro Ro Ro,Bo,Ro,q017,0,1,q137,0,-180,-684,-960,996,396,203047867276943673373059/250000000000000000000000,50144761124361674619/61035156250000000000,positive
q137,N,B,Ro,Bo Bo B,Ro Ro Ro,Bo,R,q017,0,1,q138,0,0,0,0,0,0,0,0,zero
q137,N,B,Ro,Bo Bo B,Ro Ro Ro,B,Ro,q025,0,1,q137,0,-180,-684,-960,996,396,203047867276943673373059/250000000000000000000000,50144761124361674619/61035156250000000000,positive
